os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,AMD Ryzen 7 7745HX with Radeon Graphics,NVIDIA GeForce RTX 4070 Laptop GPU,32528084,7.1.3-2-cachyos,,powersave
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
86.1809,11.6035,23.3668,0,100,64,52,1590,7001,6.62946,49,11.2572,2.40772,4.6791,2954,17401059840
87.5243,11.4254,23.3668,0,100,64,52,1590,7001,6.62946,49,11.2572,2.40772,4.6791,2954,17501173122
79.3001,12.6103,23.3668,0,100,64,52,1590,7001,6.62946,49,11.2572,2.40772,4.6791,2954,17601284030
82.3149,12.1485,23.3668,0,100,64,52,1590,7001,6.62946,49,11.2572,2.40772,4.6791,2954,17701394938
81.9943,12.196,26.4223,0,100,64,52,1576,7001,6.62946,49,11.2769,2.4077,4.67915,2870,17801517719
85.5072,11.6949,26.4223,0,100,64,52,1576,7001,6.62946,49,11.2769,2.4077,4.67915,2870,17901635751
80.5052,12.4215,26.4223,0,100,64,52,1576,7001,6.62946,49,11.2769,2.4077,4.67915,2870,18001765656
75.3553,13.2705,26.4223,0,100,64,52,1576,7001,6.62946,49,11.2769,2.4077,4.67915,2870,18101874189
88.6015,11.2865,30.4293,0,100,64,52,1576,7001,6.62946,49,11.2704,2.40769,4.67916,2763,18201982722
88.8258,11.258,30.4293,0,100,64,52,1576,7001,6.62946,49,11.2704,2.40769,4.67916,2763,18302086507
84.6308,11.816,30.4293,0,100,64,52,1576,7001,6.62946,49,11.2704,2.40769,4.67916,2763,18402197414
105.412,9.48654,30.4293,0,100,64,52,1576,7001,6.62946,49,11.2704,2.40769,4.67916,2763,18502309510
86.946,11.5014,30.4293,0,100,64,52,1576,7001,6.62946,49,11.2704,2.40769,4.67916,2763,18602423980
78.7366,12.7006,27.9393,0,100,64,52,1543,7001,6.62946,49,11.3585,2.40768,4.67917,2708,18702538449
88.6295,11.2829,27.9393,0,100,64,52,1543,7001,6.62946,49,11.3585,2.40768,4.67917,2708,18802654107
88.2857,11.3269,27.9393,0,100,64,52,1543,7001,6.62946,49,11.3585,2.40768,4.67917,2708,18902776888
92.311,10.8329,27.9393,0,100,64,52,1543,7001,6.62946,49,11.3585,2.40768,4.67917,2708,19002894919
77.562,12.8929,27.9393,0,100,64,52,1543,7001,6.62946,49,11.3585,2.40768,4.67917,2708,19103004640
89.4674,11.1773,27.9393,0,100,64,52,1543,7001,6.62946,49,11.3585,2.40768,4.67917,2708,19203122672
99.7567,10.0244,31.1622,0,99,64,52,1582,7001,6.62946,49,11.2596,2.40768,4.67918,2614,19303259700
93.272,10.7213,31.1622,0,99,64,52,1582,7001,6.62946,49,11.2596,2.40768,4.67918,2614,19403372983
